"","Easting","Northing"
"1",19.4355776,-33.6435315
"2",19.4373969,-33.6427649
"3",19.4417322,-33.6419964
"4",19.4364954,-33.6442143
"5",19.4479816,-33.6387664
"6",19.4461329,-33.6396005
"7",19.4402783,-33.6437819
"8",19.4455836,-33.6398301
"9",19.438965,-33.6412662
"10",19.4520765,-33.6387688
"11",19.438965,-33.6412662
"12",19.4487261,-33.6398399
"13",19.4363895,-33.6444187
"14",19.4504553,-33.6389683
"15",19.4360627,-33.6445797
"16",19.4871077,-33.6486136
"17",19.4415074,-33.6408935
"18",19.4368024,-33.6448543
"19",19.4474992,-33.6404742
"20",19.4370513,-33.6417465
"21",19.4343708,-33.6466913
"22",19.4343708,-33.6466913
"23",19.450089,-33.6391475
"24",19.4433275,-33.640877
"25",19.4452222,-33.6399636
"26",19.4455836,-33.6398301
"27",19.4363122,-33.6415911
"28",19.4355052,-33.6447171
"29",19.4458012,-33.6398824
"30",19.4491141,-33.6394842
"31",19.4451128,-33.6414344
"32",19.4520765,-33.6387688
"33",19.450089,-33.6391475
"34",19.4352727,-33.6462532
"35",19.444121,-33.6404124
"36",19.44688,-33.6405918
"37",19.4504553,-33.6389683
"38",19.4417322,-33.6419964
"39",19.4466627,-33.6408297
"40",19.450309,-33.6390404
"41",19.4506903,-33.6394457
"42",19.4364954,-33.6442143
"43",19.4368816,-33.6454428
"44",19.4370513,-33.6417465
"45",19.4491141,-33.6394842
"46",19.4363345,-33.6464718
"47",19.450309,-33.6390404
"48",19.4374328,-33.6459102
"49",19.4371022,-33.6460723
"50",19.4368024,-33.6448543
"51",19.4473383,-33.6412369
"52",19.4368816,-33.6454428
"53",19.4637979,-33.6406172
"54",19.4464014,-33.6415282
"55",19.444375,-33.6417866
"56",19.4468097,-33.6414935
"57",19.4394118,-33.6449331
"58",19.4442472,-33.6420045
"59",19.4468097,-33.6414935
"60",19.4495508,-33.6401796
"61",19.4350967,-33.6463388
"62",19.4484939,-33.6404961
"63",19.4473383,-33.6412369
"64",19.4456092,-33.6413442
"65",19.4375605,-33.6458475
"66",19.4350967,-33.6463388
"67",19.4415074,-33.6408935
"68",19.4345911,-33.6465844
"69",19.4348561,-33.646456
"70",19.4466627,-33.6408297
"71",19.4438922,-33.6406027
"72",19.4404769,-33.6444712
"73",19.4390961,-33.6454041
"74",19.4374328,-33.6459102
"75",19.4473144,-33.6405111
"76",19.4404769,-33.6444712
"77",19.4355694,-33.6463163
"78",19.445718,-33.6419822
"79",19.446399,-33.6409584
"80",19.4383923,-33.6441607
"81",19.4450746,-33.6423689
"82",19.4392621,-33.6451749
"83",19.446399,-33.6409584
"84",19.4453919,-33.6414448
"85",19.4475572,-33.6411261
"86",19.4515807,-33.6405655
"87",19.4383923,-33.6441607
"88",19.4527087,-33.6406244
"89",19.438244,-33.6469752
"90",19.4423435,-33.6450489
"91",19.4491246,-33.6404126
"92",19.4419369,-33.6450937
"93",19.4422035,-33.6451916
"94",19.4497202,-33.6398554
"95",19.438244,-33.6469752
"96",19.4375605,-33.6458475
"97",19.4396399,-33.6462858
"98",19.4396399,-33.6462858
"99",19.4467491,-33.6429249
"100",19.4477022,-33.6423236
"101",19.4386256,-33.6469143
"102",19.4465741,-33.6430103
"103",19.4477022,-33.6423236
"104",19.4465741,-33.6430103
"105",19.4423435,-33.6450489
"106",19.4499885,-33.6421544
"107",19.4482025,-33.6429111
"108",19.4476788,-33.6431057
"109",19.4482025,-33.6429111
"110",19.4469446,-33.6435156
"111",19.4469446,-33.6435156
"112",19.4499495,-33.6412243
"113",19.4462585,-33.6439802
"114",19.4460571,-33.6440778
"115",19.4505182,-33.641108
"116",19.4458458,-33.6441699
"117",19.4499495,-33.6412243
"118",19.4476788,-33.6431057
"119",19.4450746,-33.6423689
"120",19.4458458,-33.6441699
"121",19.4465741,-33.6430103
"122",19.4495508,-33.6401796
"123",19.4460571,-33.6440778
"124",19.4448511,-33.6450555
"125",19.4421869,-33.6459698
"126",19.4421869,-33.6459698
"127",19.4470224,-33.6434421
"128",19.4384541,-33.6476361
"129",19.4417671,-33.6461739
"130",19.4480979,-33.6431303
"131",19.4403029,-33.6470177
"132",19.4397675,-33.6471544
"133",19.4374168,-33.6481108
"134",19.4406368,-33.6467387
"135",19.4382726,-33.6477263
"136",19.4417671,-33.6461739
"137",19.4480979,-33.6431303
"138",19.4379366,-33.6480606
"139",19.4488298,-33.642783
"140",19.4472573,-33.6425331
"141",19.4406368,-33.6467387
"142",19.4435919,-33.6451675
"143",19.4537193,-33.6388815
"144",19.4484555,-33.6419945
"145",19.4435919,-33.6451675
